TAZ_O,year,Avg_own_payt,Avg_own_paytinf,Avg_val_dwel,Avg_val_dwelinf,Avg_rent,Avg_rentinf,Avg_HHinc,Avg_HHincinf,Med_HHincinf,Dwel,Sgl_det,Apt_5plus,Sgl_att,Owned,Rented
2081,2016,1485.5714285714287,1485.5714285714287,468932.85714285716,468932.85714285716,1412.0,1412.0,97325.85714285714,97325.85714285714,87939.0,834.0,22.0,1.0,811.0,647.0,193.0
2081,2086,871.0,1699.7565,77143.8,150546.1257,415.0,809.8725000000001,29539.0,57645.3585,96821.721,68.0,56.0,0.0,11.0,62.0,5.0
2081,2091,969.6,1502.78304,232387.6,360177.54124000005,972.2,1506.8127800000002,53601.2,83076.49988,81792.8727,19.0,17.0,1.0,1.0,17.0,3.0
2081,2096,1044.75,1510.2906,167312.75,241867.3114,451.0,651.9656,71801.25,103795.887,109512.8736,2.0,2.0,0.0,0.0,2.0,0.0
2082,2001,1087.5555555555557,1420.6738222222223,180826.55555555556,236213.72952222225,627.5555555555555,819.7758222222222,76286.77777777778,99653.41781111111,93016.97837777778,367.0,288.0,0.0,83.0,315.0,50.0
2082,2006,1259.4,1485.4623000000001,260848.8,307671.15959999996,790.8,932.7485999999999,78456.2,92539.0879,85220.0545,351.0,281.0,0.0,80.0,312.0,33.0
2082,2011,1342.3636363636363,1433.6443636363636,317659.63636363635,339260.4916363637,858.1818181818181,916.5381818181818,90674.36363636363,96840.22036363637,84712.69200000001,376.0,288.0,2.0,92.0,312.0,63.0
2082,2016,1436.6363636363637,1436.6363636363637,450976.8181818182,450976.8181818182,1159.5454545454545,1159.5454545454545,96944.27272727272,96944.27272727272,84632.0,374.0,284.0,2.0,89.0,294.0,57.0
2082,2086,727.0,1418.7405,63203.77777777778,123342.17233333334,544.0,1061.616,28460.777777777777,55541.207833333334,87753.1005,417.0,345.0,0.0,71.0,386.0,31.0
2082,2091,950.5,1473.17995,261654.0,405537.5346,679.0,1052.3821,45256.833333333336,70143.56598333333,69106.9412,457.0,387.0,8.0,61.0,403.0,49.0
2082,2096,1077.25,1557.2726,172312.75,249095.3114,923.25,1334.6502,69623.75,100648.093,100751.092,468.0,411.0,0.0,56.0,426.0,33.0
2083,2001,1100.391304347826,1437.4411608695652,190844.60869565216,249300.3123391304,561.5652173913044,733.5726434782609,83455.65217391304,109018.1184347826,100783.94157826087,2140.0,1517.0,1.0,633.0,1940.0,185.0
2083,2006,1240.28,1462.9102599999999,270697.56,319287.77202,499.56,589.23102,86491.24,102016.41758000001,94643.08,2342.0,1458.0,1.0,868.0,2155.0,182.0
2083,2011,1278.6,1365.5448,338122.2,361114.50960000005,541.0,577.788,98732.72,105446.54496000001,94110.024,2369.0,1483.0,1.0,881.0,2147.0,144.0
2083,2016,1442.88,1442.88,484937.48,484937.48,601.2,601.2,111107.0,111107.0,96326.0,2356.0,1462.0,1.0,887.0,2144.0,235.0
2083,2086,736.0,1436.304,115442.33333333333,225285.71349999998,596.0,1163.094,50061.666666666664,97695.3425,92544.033,1197.0,916.0,0.0,282.0,1157.0,50.0
2083,2091,983.8888888888889,1524.929388888889,211089.44444444444,327167.5299444444,924.3333333333334,1432.6242333333334,59755.333333333336,92614.79113333335,92911.85530000001,1644.0,1298.0,7.0,340.0,1543.0,90.0
2083,2096,1065.875,1540.8289,164284.375,237489.4925,1006.375,1454.8157,75587.75,109269.6514,101729.7632,1710.0,1295.0,0.0,415.0,1546.0,173.0
2084,2001,1240.1785714285713,1620.0452678571428,234746.4642857143,306649.3062964286,306.67857142857144,400.6142178571429,100170.17857142857,130852.30426785714,118048.46485714287,4342.0,2995.0,44.0,1288.0,4157.0,199.0
2084,2006,1400.3870967741937,1651.7565806451614,340899.0,402090.3705,187.4516129032258,221.09917741935482,110634.45161290323,130493.33567741935,119090.5765,4368.0,2944.0,59.0,1394.0,4193.0,191.0
2084,2011,1446.896551724138,1545.2855172413795,410447.9655172414,438358.42717241385,408.7931034482759,436.59103448275863,121678.79310344828,129952.95103448277,117350.77200000001,4486.0,2983.0,59.0,1426.0,4262.0,166.0
2084,2016,1594.9333333333334,1594.9333333333334,608431.3666666667,608431.3666666667,280.2,280.2,137504.63333333333,137504.63333333333,120946.0,4468.0,2983.0,59.0,1428.0,4184.0,277.0
2084,2086,730.0,1424.595,117433.55555555556,229171.58366666667,493.0,962.0895,50766.0,99069.849,94146.2145,712.0,589.0,0.0,120.0,685.0,28.0
2084,2091,1261.421052631579,1955.0764894736842,243870.52631578947,377974.9287368421,995.421052631579,1542.8030894736844,68013.52631578948,105414.16443684213,101095.3273,2956.0,2547.0,5.0,406.0,2680.0,274.0
2084,2096,1247.4347826086957,1803.2917217391305,195797.73913043478,283045.2116869565,928.8695652173913,1342.7738434782607,71792.78260869565,103783.64653913042,108198.8232,4072.0,2939.0,0.0,1152.0,3670.0,404.0
2085,2001,1084.0,1416.0292,185482.61111111112,242295.93489444445,202.83333333333334,264.96118333333334,75375.11111111111,98462.50764444444,89976.56512777777,1273.0,899.0,0.0,375.0,1052.0,233.0
2085,2006,1212.4444444444443,1430.0782222222222,287636.8888888889,339267.71044444444,151.38888888888889,178.56319444444443,84296.11111111111,99427.26305555555,88659.4765,1299.0,896.0,0.0,402.0,1120.0,178.0
2085,2011,1266.6666666666667,1352.8000000000002,355426.95238095237,379595.9851428571,287.6666666666667,307.22800000000007,97410.09523809524,104033.98171428572,90980.784,1394.0,944.0,15.0,432.0,1167.0,212.0
2085,2016,1392.952380952381,1392.952380952381,501368.3333333333,501368.3333333333,361.3333333333333,361.3333333333333,105976.85714285714,105976.85714285714,94762.0,1384.0,934.0,15.0,436.0,1189.0,204.0
2085,2086,671.0,1309.4565,102424.875,199882.14356250002,549.0,1071.3735,45908.6875,89590.80365625,87436.9575,986.0,682.0,0.0,304.0,840.0,146.0
2085,2091,945.5,1465.43045,186436.88888888888,288958.5340888889,797.1111111111111,1235.4425111111111,61839.88888888889,95845.64378888889,92200.45120000001,1304.0,917.0,1.0,382.0,1090.0,215.0
2085,2096,1045.4117647058824,1511.2472470588236,163739.17647058822,236701.35350588235,778.9411764705883,1126.0373647058825,66003.35294117648,95414.44701176471,93459.4856,1353.0,942.0,0.0,406.0,1133.0,222.0
2086,2001,951.8235294117648,1243.3670764705882,168523.9411764706,220142.82435882356,427.29411764705884,558.174305882353,64223.41176470588,83895.0427882353,73979.45737647059,848.0,417.0,1.0,439.0,675.0,177.0
2086,2006,1108.5294117647059,1307.5104411764705,253616.9411764706,299141.1821176471,466.11764705882354,549.7857647058823,68603.23529411765,80917.51602941177,75729.7975,863.0,381.0,1.0,489.0,680.0,192.0
2086,2011,1185.3333333333333,1265.936,347829.73333333334,371482.15520000004,391.06666666666666,417.6592,84666.33333333333,90423.644,78546.06,886.0,385.0,1.0,497.0,657.0,198.0
2086,2016,1361.8666666666666,1361.8666666666666,494638.13333333336,494638.13333333336,802.2,802.2,94206.06666666667,94206.06666666667,82082.0,960.0,390.0,1.0,572.0,710.0,268.0
2086,2086,573.0,1118.2095,89602.07692307692,174858.45311538462,510.0,995.265,40409.153846153844,78858.46373076923,85337.1435,841.0,487.0,5.0,347.0,672.0,178.0
2086,2091,837.9090909090909,1298.6753,177953.0,275809.3547,782.5454545454545,1212.8672,56426.454545454544,87455.3619,82381.8347,708.0,375.0,1.0,341.0,551.0,162.0
2086,2096,959.2727272727273,1386.7246545454545,160489.27272727274,232003.29265454545,738.9090909090909,1068.1669818181817,59393.27272727273,85858.91505454546,79461.7408,816.0,379.0,1.0,425.0,580.0,236.0
2087,2001,903.2727272727273,1179.9451636363635,163655.81818181818,213783.59529090908,395.45454545454544,516.5822727272728,61278.09090909091,80047.57015454546,71789.61657272727,801.0,625.0,16.0,155.0,652.0,157.0
2087,2006,1064.0,1254.988,266885.2727272727,314791.17918181815,474.3636363636364,559.5119090909091,66362.0,78273.979,73560.697,810.0,616.0,16.0,180.0,654.0,153.0
2087,2011,1184.357142857143,1264.8934285714288,351446.4285714286,375344.78571428574,405.0,432.54,81117.57142857143,86633.5662857143,76211.41200000001,832.0,623.0,17.0,190.0,666.0,135.0
2087,2016,1347.4285714285713,1347.4285714285713,465799.28571428574,465799.28571428574,752.9285714285714,752.9285714285714,92341.35714285714,92341.35714285714,80907.0,818.0,616.0,17.0,185.0,628.0,188.0
2087,2086,558.0,1088.937,92031.0,179598.4965,517.0,1008.9255,42210.11111111111,82373.03183333333,80392.0425,821.0,643.0,14.0,156.0,681.0,138.0
2087,2091,796.5,1234.4953500000001,170739.25,264628.763575,638.75,989.9986250000001,52354.875,81144.8207625,76740.19870000001,806.0,610.0,19.0,176.0,632.0,173.0
2087,2096,915.2857142857143,1323.1370285714286,152894.85714285713,221024.80548571426,708.4285714285714,1024.104342857143,54372.57142857143,78600.98925714285,81799.276,789.0,586.0,26.0,173.0,600.0,190.0
2088,2001,1157.3529411764705,1511.8501470588235,243512.5294117647,318100.4171705882,457.8235294117647,598.0548764705883,106536.23529411765,139168.2841647059,107280.6559117647,1412.0,876.0,84.0,438.0,997.0,408.0
2088,2006,1320.0,1556.94,359763.82352941175,424341.42985294113,537.4705882352941,633.9465588235295,117643.29411764706,138760.2654117647,109982.4775,1373.0,861.0,149.0,359.0,1053.0,312.0
