TAZ_O,year,Pop,FT_wrk,Stu,HH,Jobs,Cars
212,2011,2151,1770,472,1418.0,23064.0,863
212,2016,4782,4022,1549,3217.0,27802.0,1641
213,1986,237,105,106,79.0,,131
213,1991,230,115,0,138.0,6984.0,138
213,1996,167,131,0,148.0,9064.0,19
213,2001,566,287,183,351.0,10179.0,153
213,2006,1148,794,167,668.0,10612.0,460
213,2011,3013,2166,231,1860.0,14528.0,933
213,2016,6136,4511,1405,4079.0,18386.0,2374
214,1986,2476,1503,993,1194.0,,730
214,1991,1130,847,0,847.0,7345.0,282
214,1996,4016,1898,1622,2045.0,8412.0,922
214,2001,4025,1803,1324,2028.0,10253.0,999
214,2006,5277,2221,1292,2649.0,8963.0,1185
214,2011,4428,2030,1231,2124.0,12857.0,1244
214,2016,6463,3673,533,3744.0,14355.0,1440
215,1986,4002,2058,1348,1901.0,,1258
215,1991,2683,988,3530,1271.0,11518.0,424
215,1996,4237,1546,1143,1953.0,15577.0,1143
215,2001,4167,1744,1271,1942.0,14336.0,806
215,2006,4459,1401,2735,1809.0,16554.0,756
215,2011,3075,915,1214,1300.0,18353.0,593
215,2016,3340,1176,975,1644.0,18807.0,754
216,1986,287,220,0,155.0,,155
216,1991,282,141,0,141.0,7223.0,141
216,1996,162,16,16,145.0,10964.0,32
216,2001,680,264,32,340.0,5240.0,221
216,2006,211,16,256,114.0,13057.0,48
216,2011,42,10,0,33.0,13988.0,10
216,2016,89,0,89,45.0,15898.0,0
217,1986,1172,375,730,929.0,,287
217,1991,282,0,0,282.0,3242.0,141
217,1996,1066,292,402,630.0,3081.0,274
217,2001,1111,386,339,751.0,10985.0,255
217,2006,877,274,0,568.0,2444.0,259
217,2011,1005,343,62,627.0,3589.0,275
217,2016,1345,536,160,470.0,5068.0,191
218,1986,1149,587,332,715.0,,306
218,1991,3497,1431,1113,1589.0,3652.0,795
218,1996,1567,713,356,1051.0,3391.0,596
218,2001,1247,660,297,682.0,6580.0,465
218,2006,1232,456,140,774.0,8779.0,567
218,2011,1916,871,865,1128.0,6122.0,818
218,2016,2237,800,347,1530.0,6277.0,643
219,1986,51,52,0,26.0,,26
219,1991,0,0,0,,12829.0,0
219,1996,59,40,79,59.0,7102.0,80
219,2001,258,102,45,118.0,7497.0,64
219,2006,0,0,0,,7018.0,0
219,2011,18,0,0,9.0,9231.0,9
219,2016,781,172,116,360.0,11094.0,65
220,1986,490,271,136,327.0,,109
220,1991,989,423,0,565.0,19782.0,0
220,1996,990,590,475,571.0,18086.0,285
220,2001,1485,819,410,796.0,15760.0,410
220,2006,1549,615,615,821.0,18809.0,354
220,2011,1434,720,766,810.0,22611.0,373
220,2016,1777,1080,143,1196.0,26404.0,401
221,1986,0,0,0,,,0
221,1991,194,130,0,108.0,6384.0,108
221,1996,438,190,114,228.0,6252.0,95
221,2001,301,129,172,172.0,7444.0,43
221,2006,411,167,149,224.0,7876.0,75
221,2011,1095,525,151,581.0,7465.0,274
221,2016,2189,1185,501,1254.0,9475.0,591
222,1986,54,27,0,54.0,,27
222,1991,0,0,0,,35107.0,0
222,1996,0,0,0,,33689.0,0
222,2001,29,29,0,29.0,34887.0,0
222,2006,0,0,0,,33561.0,0
222,2011,118,39,0,70.0,46183.0,70
222,2016,917,546,124,387.0,42532.0,390
223,1986,109,108,0,54.0,,108
223,1991,367,302,0,194.0,35980.0,196
223,1996,444,316,112,222.0,36965.0,242
223,2001,466,251,67,266.0,37383.0,301
223,2006,463,161,121,282.0,36266.0,221
223,2011,1070,672,43,562.0,40929.0,350
223,2016,408,342,62,248.0,43346.0,230
224,1986,1185,841,132,659.0,,762
224,1991,3106,1955,230,1749.0,6275.0,1771
224,1996,4176,2672,1775,2464.0,4657.0,2172
224,2001,3726,2299,267,2207.0,6713.0,2137
224,2006,4388,2797,927,2375.0,5930.0,2114
224,2011,6883,3999,1120,3635.0,11063.0,3456
224,2016,8340,5543,1300,5034.0,18792.0,3367
225,1986,0,0,0,,,0
225,1991,0,0,0,,952.0,0
225,1996,0,0,0,,3630.0,0
225,2001,0,0,0,,6624.0,0
225,2006,0,0,0,,6060.0,0
225,2011,0,0,0,,6604.0,0
225,2016,0,0,0,,5359.0,0
226,1986,54,54,0,27.0,,27
226,1991,0,0,0,,19624.0,0
226,1996,19,0,0,19.0,19811.0,0
226,2001,40,20,0,20.0,25627.0,20
226,2006,20,0,0,20.0,21943.0,20
226,2011,30,30,0,21.0,22845.0,21
226,2016,54,14,40,54.0,20915.0,14
227,1986,191,108,0,82.0,,27
227,1991,0,0,0,,13299.0,0
227,1996,0,0,0,,17568.0,0
227,2001,73,0,0,48.0,17450.0,24
227,2006,0,0,0,,15082.0,0
227,2011,0,0,0,,13569.0,0
227,2016,8,8,0,8.0,23415.0,0
228,1986,54,54,0,27.0,,54
228,1991,0,0,0,,23718.0,0
228,1996,38,19,0,19.0,19333.0,38
228,2001,103,60,28,30.0,15754.0,60
228,2006,56,57,0,19.0,16671.0,38
228,2011,0,0,0,,20375.0,0
228,2016,0,0,0,,21525.0,0
229,1986,1062,817,109,654.0,,435
229,1991,2396,1316,1013,1252.0,9902.0,777
229,1996,2493,1409,1103,1427.0,7435.0,780
229,2001,2153,1439,280,1305.0,10520.0,575
229,2006,2668,1326,933,1418.0,9709.0,596
229,2011,4592,2591,790,2648.0,10358.0,1694
229,2016,5666,2988,698,3251.0,14395.0,1830
230,1986,204,153,0,128.0,,51
230,1991,387,195,108,194.0,4741.0,109
230,1996,476,277,159,258.0,2254.0,199
230,2001,1236,838,232,777.0,4021.0,461
230,2006,1885,969,441,1110.0,4340.0,688
230,2011,3294,1692,754,1934.0,8152.0,1183
230,2016,2735,1368,757,1642.0,4418.0,692
231,1986,3625,1633,1378,1991.0,,1073
231,1991,6281,2668,1527,3377.0,8189.0,1937
231,1996,6484,2855,2499,3589.0,7787.0,2022
231,2001,5697,2237,2224,3109.0,9777.0,1469
231,2006,7809,2901,2843,4075.0,5568.0,1929
231,2011,7197,2978,1953,3937.0,7801.0,1847
231,2016,8075,3331,2925,5103.0,7068.0,1888
232,1986,2987,2095,306,2017.0,,1072
232,1991,2543,1113,1590,1907.0,6144.0,636
232,1996,2896,1650,695,1962.0,6155.0,1102
232,2001,3195,2039,745,2242.0,6523.0,1173
232,2006,3680,1980,460,2420.0,6408.0,1000
232,2011,3590,2352,839,2166.0,6240.0,1154
232,2016,5491,3301,2070,3661.0,4945.0,1455
233,1986,3651,2528,537,2579.0,,1432
233,1991,4927,3020,318,2861.0,4425.0,1272
233,1996,3709,2274,479,2632.0,3520.0,1029
233,2001,4108,2470,1258,2828.0,3086.0,872
233,2006,3360,1700,720,2340.0,3156.0,1000
233,2011,4341,2419,1288,2700.0,4193.0,991
233,2016,3984,2127,550,2763.0,3287.0,723
234,1986,3217,2529,332,2400.0,,1226
234,1991,3179,1748,954,1907.0,3380.0,795
234,1996,3446,2222,770,2448.0,1665.0,1225
234,2001,3645,2358,1025,2404.0,2182.0,1069
234,2006,3673,2029,1320,2442.0,2075.0,1081
234,2011,3536,2112,839,2098.0,2768.0,1112
234,2016,6652,4198,834,4387.0,3704.0,1502
235,1986,1072,664,562,715.0,,306
235,1991,1113,954,477,636.0,3156.0,477
235,1996,1338,612,159,975.0,845.0,453
235,2001,1653,846,601,1211.0,1088.0,461
235,2006,2725,1369,157,1887.0,1316.0,616
235,2011,1969,1060,175,1321.0,1394.0,590
235,2016,1853,1197,46,1330.0,1259.0,591
236,1986,3705,2259,327,1934.0,,1280
236,1991,3800,1663,1017,2094.0,7656.0,1230
236,1996,4518,1951,1785,2447.0,6088.0,1276
236,2001,5706,3171,1700,3116.0,7061.0,1845
236,2006,6354,2940,1660,3604.0,8410.0,2062
236,2011,7120,3476,2247,3843.0,10160.0,2452
236,2016,5563,2705,1148,3366.0,12672.0,1348
237,1986,1062,680,627,518.0,,300
237,1991,432,238,0,259.0,8512.0,152
237,1996,1111,465,345,600.0,6800.0,375
237,2001,1282,526,627,624.0,8943.0,373
237,2006,1873,950,142,1138.0,9650.0,547
237,2011,3544,1400,3556,1856.0,14040.0,885
237,2016,2857,1612,727,1871.0,11901.0,635
238,1986,218,190,0,136.0,,163
238,1991,648,455,0,345.0,13888.0,259
238,1996,1130,723,241,630.0,9610.0,354
238,2001,1520,1211,346,1020.0,13795.0,711
238,2006,1852,1046,625,1067.0,13947.0,684
238,2011,2304,1378,1220,1360.0,18070.0,746
238,2016,2560,1725,455,1487.0,21589.0,897
239,1986,1226,654,54,545.0,,571
239,1991,691,497,0,367.0,5315.0,542
239,1996,852,630,0,463.0,5393.0,556
239,2001,1020,533,145,568.0,8661.0,518
239,2006,906,524,0,503.0,8600.0,422
239,2011,1964,924,257,1025.0,7608.0,1004
239,2016,1214,612,175,808.0,8124.0,653
240,1986,132,132,0,79.0,,105
240,1991,1312,782,115,759.0,2197.0,437
240,1996,1545,1024,835,1002.0,2676.0,418
240,2001,1862,1015,339,1233.0,2775.0,628
240,2006,2436,947,965,1550.0,3121.0,462
240,2011,2907,1207,1345,1725.0,3340.0,740
240,2016,4740,3066,401,3085.0,2627.0,1633
241,1986,105,78,0,53.0,,53
241,1991,138,138,0,92.0,4242.0,46
241,1996,21,21,0,21.0,2741.0,21
241,2001,0,0,0,,3771.0,0
241,2006,0,0,0,,3583.0,0
241,2011,0,0,0,,3421.0,0
241,2016,1222,962,137,676.0,4618.0,612
242,1986,53,0,0,26.0,,26
242,1991,0,0,0,,1001.0,0
242,1996,0,0,0,,1583.0,0
242,2001,636,564,64,393.0,663.0,279
242,2006,778,420,90,479.0,1266.0,375
242,2011,1430,795,309,875.0,1340.0,698
242,2016,3550,2502,432,2179.0,1815.0,1595
243,1986,896,527,158,421.0,,448
243,1991,552,253,460,253.0,6464.0,207
243,1996,648,410,111,315.0,7201.0,223
243,2001,1721,1415,221,1120.0,7310.0,723
243,2006,3356,2417,1408,1993.0,7078.0,1356
243,2011,4843,2823,2828,2602.0,9241.0,1688
243,2016,7035,5060,1223,4570.0,9143.0,2518
244,1986,4431,2368,2305,2367.0,,1306
244,1991,2401,1413,424,1554.0,1069.0,989
244,1996,5027,1667,2501,2854.0,972.0,1136
244,2001,5058,2065,1342,2841.0,1259.0,1065
244,2006,4842,1704,2100,2826.0,1168.0,1288
244,2011,3627,939,3725,1786.0,1170.0,757
244,2016,4242,1587,1015,2692.0,1503.0,891
245,1986,3733,1973,304,1942.0,,1152
245,1991,3390,2259,565,2118.0,3065.0,1411
245,1996,4244,2147,1794,2425.0,1848.0,959
245,2001,3924,2013,1846,2186.0,1794.0,1083
245,2006,3841,1771,1081,2415.0,2050.0,989
245,2011,3595,1648,2493,1783.0,1897.0,1120
245,2016,3081,1170,369,2086.0,1604.0,660
246,1986,5918,3579,1367,3490.0,,1760
246,1991,14688,8192,3672,8897.0,1646.0,5367
246,1996,6210,3301,1794,3817.0,1551.0,1878
246,2001,7027,3581,1896,4370.0,1719.0,2117
246,2006,7134,3852,1723,4388.0,1712.0,2099
246,2011,7966,4421,1821,4682.0,2336.0,2551
246,2016,8330,4284,2041,5197.0,1738.0,2406
247,1986,16268,8983,8315,9014.0,,4249
247,1991,19772,8615,5931,10875.0,8162.0,3812
247,1996,17535,7113,9097,8517.0,5568.0,3489
247,2001,18272,6513,12202,7799.0,5550.0,3136
247,2006,18362,7101,14791,8516.0,6460.0,2865
247,2011,17177,5531,10772,7469.0,8104.0,2655
247,2016,18283,8094,13387,9528.0,10125.0,3018
248,1986,3247,1761,1032,1335.0,,1637
248,1991,706,423,0,282.0,337.0,282
248,1996,1774,1073,371,887.0,425.0,994
248,2001,1264,789,129,655.0,518.0,646
248,2006,1375,856,76,733.0,524.0,703
248,2011,1679,948,424,661.0,728.0,812
248,2016,1315,673,487,557.0,335.0,650
249,1986,4401,1546,1760,1821.0,,1395
249,1991,1554,282,0,847.0,1402.0,846
249,1996,2599,1310,1623,1289.0,636.0,936
249,2001,2290,1131,419,1168.0,616.0,752
249,2006,2789,1214,1350,1308.0,962.0,1141
249,2011,2615,1314,838,1202.0,816.0,1159
249,2016,1478,678,420,727.0,651.0,551
250,1986,2094,818,2490,1002.0,,273
250,1991,2825,423,1130,989.0,0.0,282
250,1996,6299,1144,8002,2349.0,213.0,978
250,2001,8130,1526,7424,2769.0,538.0,1354
250,2006,6248,1150,6910,2010.0,298.0,823
250,2011,8996,1616,11424,3033.0,277.0,952
250,2016,4698,1377,2996,1904.0,457.0,968
251,1986,3551,1488,4704,1335.0,,759
251,1991,1554,564,847,565.0,1644.0,141
251,1996,4844,917,5909,1331.0,1420.0,894
251,2001,4090,979,5827,1271.0,1415.0,741
251,2006,5342,1452,6391,1593.0,1498.0,1089
251,2011,3689,874,7369,1243.0,1327.0,682
251,2016,7349,3461,8495,3653.0,2195.0,2324
252,1986,685,473,1052,342.0,,288
252,1991,0,0,0,,2421.0,0
252,1996,556,444,74,296.0,2282.0,243
252,2001,669,397,87,364.0,2352.0,296
252,2006,1055,638,396,593.0,1680.0,616
252,2011,945,723,145,537.0,2404.0,426
252,2016,2710,1624,1316,1620.0,2705.0,1186
253,1986,0,0,0,,,0
253,1991,0,0,0,,1851.0,0
253,1996,44,0,0,22.0,1952.0,22
253,2001,0,0,0,,2066.0,0
253,2006,0,0,0,,2562.0,0
253,2011,9,0,0,9.0,3213.0,9
253,2016,0,0,0,,3686.0,0
254,1986,1446,811,1115,584.0,,457
254,1991,1090,726,0,363.0,804.0,910
254,1996,1578,720,200,779.0,1447.0,579
254,2001,1463,497,863,559.0,1939.0,463
254,2006,1447,697,290,676.0,1325.0,509
254,2011,2365,1108,1217,1044.0,1290.0,942
254,2016,2917,1977,339,1738.0,1410.0,1153
255,1986,4516,2080,1826,1649.0,,1496
255,1991,4904,2544,7630,1998.0,2011.0,1634
255,1996,6111,2537,6254,2396.0,1826.0,2058
255,2001,6707,3172,4946,2674.0,1831.0,2169
255,2006,5444,2392,2227,2377.0,1779.0,1698
255,2011,6812,3038,3509,2773.0,1978.0,2363
255,2016,6641,3011,3674,2703.0,1149.0,2065
256,1986,4998,2451,4234,1805.0,,1967
256,1991,6244,3903,0,2537.0,1795.0,3316
256,1996,5043,2302,3977,1827.0,1923.0,1845
256,2001,4003,2031,1868,1737.0,1828.0,1625
256,2006,5236,2363,2533,1989.0,2202.0,2159
256,2011,5484,2865,1706,1998.0,2582.0,2173
256,2016,4201,2004,1903,1352.0,1723.0,1781
257,1986,3286,1574,1133,1643.0,,1342
257,1991,3707,1950,1171,1561.0,1600.0,975
257,1996,3806,1980,1539,1922.0,1450.0,1598
257,2001,2831,1603,459,1504.0,1274.0,1149
257,2006,3089,1509,1133,1441.0,1470.0,1339
257,2011,3235,1401,1432,1503.0,1451.0,1341
257,2016,3955,2161,968,2409.0,1165.0,1549
258,1986,5230,3009,1411,2383.0,,2242
258,1991,6439,3706,195,2732.0,926.0,3511
258,1996,3671,1987,1826,1967.0,1067.0,1340
258,2001,4132,2186,1165,2132.0,1622.0,1667
258,2006,4214,1728,2592,2027.0,1178.0,1676
258,2011,3381,1489,1652,1591.0,1271.0,1225
258,2016,3970,2110,1238,1945.0,882.0,1398
259,1986,4304,2220,2383,1597.0,,1645
259,1991,5073,1755,2537,1561.0,1324.0,1171
259,1996,3792,2048,2230,1663.0,1644.0,1359
259,2001,3587,1756,1846,1462.0,1581.0,1581
259,2006,4015,1771,1892,1628.0,1695.0,1529
259,2011,3481,1592,2124,1340.0,1587.0,1342
259,2016,2892,1209,1458,1101.0,1338.0,1034
260,1986,4721,2195,4072,1574.0,,1595
260,1991,3512,1755,0,1561.0,810.0,1366
260,1996,3273,1409,3006,1237.0,891.0,1084
260,2001,2993,1426,910,1411.0,1227.0,1246
260,2006,3401,1578,942,1530.0,1564.0,1474
260,2011,3300,1375,1895,1323.0,1202.0,1445
260,2016,3465,1647,1589,1247.0,1056.0,1041
261,1986,4258,1667,4048,1527.0,,1179
261,1991,5658,1560,2342,1756.0,1562.0,1366
261,1996,4630,1768,3338,1788.0,760.0,1211
261,2001,5315,1907,2718,2321.0,905.0,1544
261,2006,3730,1403,1756,1651.0,957.0,1140
261,2011,4382,1572,2052,1615.0,893.0,1392
261,2016,5321,1656,2164,2239.0,1175.0,1215
262,1986,2383,1110,1340,902.0,,878
262,1991,2341,1755,6438,976.0,1552.0,585
262,1996,2941,1352,2264,1152.0,812.0,874
262,2001,2293,989,1057,1023.0,936.0,892
262,2006,2489,1136,956,1075.0,918.0,917
262,2011,2112,939,1427,781.0,1046.0,861
262,2016,2372,1268,580,1056.0,638.0,1251
263,1986,5480,3067,4262,1852.0,,1751
263,1991,2543,1272,363,908.0,2043.0,727
263,1996,4645,2350,2938,2001.0,1963.0,1760
263,2001,4928,2535,1617,2271.0,1976.0,2032
263,2006,5172,2468,2465,2250.0,1959.0,2111
263,2011,6544,3487,1641,2776.0,2570.0,3080
263,2016,10261,6294,1989,5052.0,2985.0,4459
264,1986,2385,1193,1722,812.0,,937
264,1991,3996,1273,7266,1453.0,629.0,1271
264,1996,3176,1231,1193,1285.0,720.0,789
264,2001,2824,1375,1150,1125.0,952.0,927
264,2006,2733,1114,905,1093.0,908.0,717
264,2011,3052,1093,923,1085.0,1008.0,1013
264,2016,2294,987,283,1028.0,573.0,784
265,1986,8795,4942,4003,4366.0,,3574
265,1991,9899,5656,1212,4647.0,1956.0,3434
265,1996,11532,4601,5589,5344.0,1146.0,4198
265,2001,13556,6073,6557,5799.0,1364.0,4648
265,2006,12199,4887,6241,5516.0,1867.0,4186
265,2011,12186,4797,5284,5169.0,2078.0,4734
265,2016,12712,5921,7290,6377.0,1812.0,4729
266,1986,2218,1084,202,1059.0,,1485
266,1991,1212,404,1212,404.0,199.0,404
266,1996,2056,878,407,878.0,420.0,1134
266,2001,1697,797,265,736.0,532.0,1117
266,2006,2448,913,267,947.0,695.0,1503
266,2011,2796,949,170,1038.0,779.0,1857
266,2016,1721,797,316,729.0,903.0,967
267,1986,8319,3303,3152,3328.0,,4160
267,1991,7162,3478,1432,3274.0,2476.0,3888
267,1996,7669,3652,1919,3391.0,3175.0,4034
267,2001,8263,3514,1613,3754.0,3098.0,4874
267,2006,8488,2907,1645,3672.0,2462.0,4821
267,2011,7704,2711,2677,2916.0,2436.0,4250
267,2016,9032,3726,2543,3483.0,2008.0,4656
268,1986,9479,4991,3403,4916.0,,3857
268,1991,11460,4912,4094,5730.0,3969.0,4502
268,1996,13299,4930,4080,6108.0,3224.0,4775
268,2001,15677,5252,5804,6357.0,3243.0,4846
268,2006,12896,3826,6493,4811.0,3447.0,3086
268,2011,21166,5306,11987,6816.0,4497.0,5849
268,2016,19410,5080,13787,6486.0,4475.0,4969
269,1986,7041,3487,3424,2932.0,,2929
269,1991,13536,5050,4848,4849.0,117.0,5252
269,1996,8620,3837,4632,3771.0,1064.0,3018
269,2001,8064,3515,3092,3493.0,912.0,3296
269,2006,9992,3812,4610,4267.0,1113.0,3849
269,2011,8078,3393,4662,3274.0,1068.0,3361
269,2016,9400,4378,4545,4228.0,831.0,3621
270,1986,5671,2717,2076,2247.0,,2398
270,1991,7475,2626,2626,2424.0,432.0,2828
270,1996,6406,2639,3614,2422.0,902.0,2442
270,2001,7473,3430,2714,2971.0,899.0,3414
270,2006,6929,3002,3236,2547.0,1098.0,2947
270,2011,6399,2821,2977,2355.0,1240.0,2645
270,2016,6171,2666,2880,2495.0,1001.0,2561
271,1986,2547,1156,1241,1156.0,,1304
271,1991,2828,1616,0,1212.0,23.0,2020
271,1996,3222,1310,783,1445.0,508.0,1543
271,2001,3237,1503,944,1450.0,456.0,1736
271,2006,3569,1469,853,1571.0,534.0,2101
271,2011,3461,1394,1940,1320.0,639.0,1818
271,2016,3036,1262,1116,1023.0,501.0,1492
272,1986,3170,1594,578,1326.0,,2226
272,1991,5539,2131,429,1905.0,0.0,2132
272,1996,2460,1069,1109,1008.0,168.0,1350
272,2001,3468,1250,1316,1194.0,282.0,1576
272,2006,3340,1195,1239,1147.0,265.0,1490
272,2011,3014,1183,765,1008.0,466.0,1657
272,2016,3503,1112,1012,1103.0,233.0,1865
273,1986,9699,4498,4525,3578.0,,4054
273,1991,4903,2655,0,2043.0,2235.0,2044
273,1996,7474,3231,2217,2967.0,2521.0,3137
273,2001,7561,3371,2223,3103.0,2388.0,3557
273,2006,7408,3428,1646,3018.0,3357.0,3548
273,2011,7643,3387,2063,3157.0,3374.0,3774
273,2016,6676,3046,2143,2782.0,2585.0,2653
274,1986,17591,8749,7771,6905.0,,6427
274,1991,15731,6335,1226,6742.0,1646.0,6334
274,1996,14443,5625,8240,5873.0,2161.0,5316
274,2001,14024,6351,7054,5834.0,2293.0,5675
274,2006,14634,6055,9351,6103.0,2151.0,5061
274,2011,13214,5650,8608,5563.0,2323.0,4624
274,2016,13428,5822,9328,5828.0,2069.0,4561
275,1986,16294,7843,8330,6779.0,,7328
275,1991,17587,8578,1072,7292.0,480.0,6219
275,1996,19486,6735,13278,7880.0,1089.0,5843
275,2001,20799,8341,13017,8537.0,1414.0,7071
275,2006,18410,6453,11942,7296.0,1275.0,5846
275,2011,19506,5882,20864,7172.0,1333.0,6091
275,2016,20643,7225,13654,8333.0,1336.0,6143
276,1986,5016,2341,2402,1946.0,,2189
276,1991,3217,1716,0,1501.0,625.0,1929
276,1996,4158,1866,1906,1818.0,351.0,1976
276,2001,3987,1852,2108,1679.0,712.0,2030
276,2006,3959,1929,1130,1603.0,577.0,1931
276,2011,3654,1668,1425,1588.0,500.0,1892
276,2016,3836,1748,1382,1584.0,593.0,1946
277,1986,1246,547,90,547.0,,515
277,1991,0,0,0,,2386.0,0
277,1996,409,137,319,273.0,2683.0,137
277,2001,339,159,339,249.0,2281.0,136
277,2006,703,211,229,409.0,2078.0,278
277,2011,639,170,479,293.0,2730.0,209
277,2016,575,192,135,369.0,2711.0,319
278,1986,5481,2584,1362,2495.0,,2632
278,1991,3488,996,0,1827.0,1107.0,1495
278,1996,4754,1901,2958,1965.0,1039.0,2111
278,2001,5329,2274,2787,2525.0,1048.0,2273
278,2006,4875,2366,2128,1866.0,1642.0,2466
278,2011,5458,2240,2488,2130.0,1444.0,2438
278,2016,6011,2617,3174,2128.0,1086.0,3017
279,1986,5993,2872,1247,3431.0,,3095
279,1991,5980,2491,664,3821.0,892.0,1661
279,1996,6198,2848,2155,3476.0,1033.0,2744
279,2001,6569,3401,1396,3272.0,963.0,3161
279,2006,7462,3048,2969,3511.0,1276.0,3450
279,2011,5696,2681,2316,2682.0,904.0,2882
279,2016,6697,3058,2725,3298.0,964.0,3285
280,1986,468,179,224,201.0,,289
280,1991,166,0,0,166.0,179.0,0
280,1996,1034,426,313,495.0,476.0,562
280,2001,947,427,423,402.0,234.0,419
280,2006,1061,665,38,474.0,306.0,570
280,2011,781,297,165,309.0,490.0,336
280,2016,1186,582,642,433.0,523.0,587
281,1986,4134,2096,1351,1626.0,,1929
281,1991,2864,1253,358,895.0,404.0,1611
281,1996,2513,1425,670,984.0,509.0,1383
281,2001,2339,1054,682,850.0,828.0,1237
281,2006,3367,1557,906,1321.0,660.0,1737
281,2011,3610,1428,1824,1194.0,567.0,1775
281,2016,3479,1628,1264,1184.0,491.0,1648
282,1986,5962,2344,2012,2240.0,,2963
282,1991,7655,2757,718,3109.0,2091.0,3622
282,1996,8870,3734,3650,3439.0,1586.0,4677
282,2001,8630,3751,3057,3484.0,1531.0,4594
282,2006,8940,3557,3520,3326.0,1846.0,5117
282,2011,10125,4549,3984,3685.0,1456.0,5840
282,2016,8208,3251,4292,3191.0,1727.0,4487
283,1986,6875,3288,2517,2740.0,,3341
283,1991,9167,3972,1222,3514.0,1909.0,4126
283,1996,8519,4283,3277,3329.0,2462.0,4180
283,2001,9368,4157,4180,3551.0,2096.0,4738
283,2006,8386,3374,3924,3178.0,2195.0,4257
283,2011,9697,4288,5174,3449.0,2875.0,4335
283,2016,8636,3699,3251,3084.0,2090.0,3868
284,1986,6670,4053,1379,3473.0,,3253
284,1991,4117,3043,0,2685.0,7217.0,2148
284,1996,5491,2846,2154,2963.0,6493.0,2351
284,2001,5632,3100,1161,3165.0,5741.0,2583
284,2006,5430,2443,1791,2697.0,5829.0,2515
284,2011,5491,2764,2061,2282.0,6659.0,2455
284,2016,6413,3037,2514,3157.0,7689.0,2291
285,1986,5811,3095,1542,2549.0,,3133
285,1991,3942,1790,0,1971.0,13450.0,1790
285,1996,5440,2719,2113,2428.0,8076.0,2652
285,2001,5265,2834,1443,2484.0,9435.0,2767
285,2006,5253,2491,2095,2220.0,7991.0,2419
285,2011,6184,2703,2317,2538.0,8191.0,3027
285,2016,5349,2792,1552,2519.0,8977.0,2131
286,1986,9701,6257,2426,6642.0,,4685
286,1991,12173,6981,537,7518.0,5516.0,5907
286,1996,12196,6963,6108,7197.0,9881.0,4208
286,2001,12845,7834,4677,8087.0,8757.0,5466
286,2006,14550,7276,5271,8504.0,8170.0,5930
286,2011,16382,8260,7126,9366.0,8861.0,6889
286,2016,17708,9257,7777,10520.0,8074.0,6236
287,1986,7083,5043,936,5099.0,,3310
287,1991,7697,5728,0,5370.0,2330.0,4117
287,1996,8492,4969,2565,5996.0,4323.0,3298
287,2001,8263,5365,1711,5634.0,5788.0,4025
287,2006,9445,4905,3960,5810.0,5338.0,3262
287,2011,10034,5136,5961,6083.0,5952.0,4244
287,2016,12085,6973,4802,7495.0,5733.0,4335
288,1986,9834,4845,2702,4517.0,,4903
288,1991,10741,3938,358,4296.0,4598.0,4833
288,1996,8348,4502,2170,3906.0,3251.0,4317
288,2001,8643,4020,3264,3959.0,2835.0,4465
288,2006,9903,4425,3079,4338.0,3546.0,4819
288,2011,10717,5115,2723,4324.0,2878.0,4976
288,2016,9166,4309,3512,3805.0,3263.0,4173
289,1986,6973,3527,2426,3417.0,,3335
289,1991,5012,2327,895,2685.0,828.0,2327
289,1996,6156,3310,1672,3305.0,1546.0,3188
289,2001,6711,3688,1792,3691.0,2122.0,3403
289,2006,7558,3502,2898,3717.0,2355.0,3553
289,2011,8141,3637,2605,3751.0,2067.0,3817
289,2016,6108,2825,2807,3006.0,1954.0,2931
290,1986,2912,1344,1172,1085.0,,1565
290,1991,3056,1070,916,1222.0,364.0,1527
290,1996,2905,1175,887,1071.0,636.0,1711
290,2001,2968,1399,618,1147.0,1168.0,1903
290,2006,2903,1120,540,1102.0,808.0,1819
290,2011,2769,1146,918,1057.0,636.0,1858
290,2016,3844,1677,1949,1421.0,642.0,2393
291,1986,4187,2034,2567,1723.0,,1980
291,1991,3972,1985,306,1986.0,402.0,2445
291,1996,4966,2506,2107,2164.0,1170.0,2559
291,2001,5771,2547,2102,2372.0,1316.0,2935
291,2006,5376,2221,2222,2252.0,1342.0,2787
291,2011,4990,2320,2344,1855.0,1896.0,2624
291,2016,5341,2366,2854,2141.0,1065.0,2564
292,1986,3207,1581,696,1125.0,,1795
292,1991,2889,825,825,1238.0,750.0,1651
292,1996,3250,1280,1176,1111.0,968.0,1530
292,2001,3635,1481,1196,1243.0,2387.0,1772
292,2006,3192,1265,769,1138.0,1759.0,1651
292,2011,3997,1408,628,1183.0,1627.0,2452
292,2016,3888,1352,854,1044.0,1276.0,1831
293,1986,5600,2465,2440,2321.0,,2704
293,1991,8047,3713,7220,2889.0,2675.0,3919
293,1996,5503,2545,2395,2331.0,2638.0,2848
293,2001,5821,2440,1778,2260.0,1819.0,3067
293,2006,6420,2507,1734,2383.0,2769.0,3503
293,2011,6969,2853,2838,2449.0,2262.0,3969
293,2016,7092,2478,1794,2720.0,1938.0,3536
294,1986,5217,2084,3901,2082.0,,2083
294,1991,5778,2269,1650,2270.0,859.0,2476
294,1996,5255,1926,1788,2265.0,1470.0,2017
294,2001,5256,1974,1849,2310.0,1381.0,1968
